"id";"Name";"SkillLevel";"Effect";"Available";"Unlocked"
1;"Affinity";1;"[""Unlocks level 1 of the Affinity Chart""]";0;0
2;"Affinity";2;"[""Unlocks level 2 of the Affinity Chart""]";0;0
3;"Affinity";3;"[""Unlocks level 3 of the Affinity Chart"", ""Affinity bond will be easier to sustain""]";0;0
4;"Affinity";4;"[""Unlocks level 4 of the Affinity Chart""]";0;0
5;"Affinity";5;"[""Unlocks level 5 of the Affinity Chart""]";0;0
6;"Harness the Wind";1;"[""Reduces 20% of aggro toward user upon landing a hit.""]";0;0
7;"Harness the Wind";2;"[""Reduces 25% of aggro toward user upon landing a hit.""]";0;0
8;"Harness the Wind";3;"[""Reduces 30% of aggro toward user upon landing a hit.""]";0;0
9;"Harness the Wind";4;"[""Reduces 35% of aggro toward user upon landing a hit.""]";0;0
10;"Harness the Wind";5;"[""Reduces 40% of aggro toward user upon landing a hit.""]";0;0
11;"Slipstream";1;"[""Adds a 60% chance of dealing a guard-annulling attack.""]";0;0
12;"Slipstream";2;"[""Adds a 70% chance of dealing a guard-annulling attack.""]";0;0
13;"Slipstream";3;"[""Adds a 80% chance of dealing a guard-annulling attack.""]";0;0
14;"Slipstream";4;"[""Adds a 90% chance of dealing a guard-annulling attack.""]";0;0
15;"Slipstream";5;"[""Adds a 100% chance of dealing a guard-annulling attack.""]";0;0
16;"Mortal Storm";1;"[""Adds a 60% chance of dealing a guard-annulling attack.""]";0;0
17;"Mortal Storm";2;"[""Adds a 70% chance of dealing a guard-annulling attack.""]";0;0
18;"Mortal Storm";3;"[""Adds a 80% chance of dealing a guard-annulling attack.""]";0;0
19;"Mortal Storm";4;"[""Adds a 90% chance of dealing a guard-annulling attack.""]";0;0
20;"Mortal Storm";5;"[""Adds a 100% chance of dealing a guard-annulling attack.""]";0;0
21;"Element Wisdom";1;"[""Increases Blade Combo damage by 20%""]";0;0
22;"Element Wisdom";2;"[""Increases Blade Combo damage by 30%""]";0;0
23;"Element Wisdom";3;"[""Increases Blade Combo damage by 40%""]";0;0
24;"Element Wisdom";4;"[""Increases Blade Combo damage by 50%""]";0;0
25;"Element Wisdom";5;"[""Increases Blade Combo damage by 60%""]";0;0
26;"Battle Wisdom";1;"[""Increases damage dealt when elemental weakness is exploited (affects all).""]";0;0
27;"Battle Wisdom";2;"[""Increases damage dealt when elemental weakness is exploited (affects all).""]";0;0
28;"Battle Wisdom";3;"[""Increases damage dealt when elemental weakness is exploited (affects all).""]";0;0
29;"Battle Wisdom";4;"[""Increases damage dealt when elemental weakness is exploited (affects all).""]";0;0
30;"Battle Wisdom";5;"[""Increases damage dealt when elemental weakness is exploited (affects all).""]";0;0
31;"Treasure Wisdom";1;"[""Increases the enemy item drop rate by 60%.""]";0;0
32;"Treasure Wisdom";2;"[""Increases the enemy item drop rate by 70%.""]";0;0
33;"Treasure Wisdom";3;"[""Increases the enemy item drop rate by 80%.""]";0;0
34;"Treasure Wisdom";4;"[""Increases the enemy item drop rate by 90%.""]";0;0
35;"Treasure Wisdom";5;"[""Increases the enemy item drop rate by 100%.""]";0;0
36;"Wind Mastery";1;"[""The power of a Wind Blade""]";0;0
37;"Wind Mastery";2;"[""The power of a Wind Blade""]";0;0
38;"Wind Mastery";3;"[""The power of a Wind Blade""]";0;0
39;"Keen Eye";1;"[""The power to see things clearly. Used to notice small changes, etc""]";0;0
40;"Keen Eye";2;"[""The power to see things clearly. Used to notice small changes, etc""]";0;0
41;"Keen Eye";3;"[""The power to see things clearly. Used to notice small changes, etc""]";0;0
42;"Extra-Ancient Wisdom";1;"[""Knowledge about super-old culture lost to the Cloud Sea. Exclusive to Adenine.""]";0;0
43;"Extra-Ancient Wisdom";2;"[""Knowledge about super-old culture lost to the Cloud Sea. Exclusive to Adenine.""]";0;0
44;"Extra-Ancient Wisdom";3;"[""Knowledge about super-old culture lost to the Cloud Sea. Exclusive to Adenine.""]";0;0
45;"Extra-Ancient Wisdom";4;"[""Knowledge about super-old culture lost to the Cloud Sea. Exclusive to Adenine.""]";0;0
46;"Extra-Ancient Wisdom";5;"[""Knowledge about super-old culture lost to the Cloud Sea. Exclusive to Adenine.""]";0;0
47;"Affinity";1;"[""Unlocks level 1 of the Affinity Chart""]";0;0
48;"Affinity";2;"[""Unlocks level 2 of the Affinity Chart""]";0;0
49;"Affinity";3;"[""Unlocks level 3 of the Affinity Chart"", ""Affinity bond will be easier to sustain""]";0;0
50;"Affinity";4;"[""Unlocks level 4 of the Affinity Chart""]";0;0
51;"Affinity";5;"[""Unlocks level 5 of the Affinity Chart""]";0;0
52;"Flame Nova";1;"[""Increases damage dealt to beasts by 60%""]";0;0
53;"Flame Nova";2;"[""Increases damage dealt to beasts by 70%""]";0;0
54;"Flame Nova";3;"[""Increases damage dealt to beasts by 80%""]";0;0
55;"Flame Nova";4;"[""Increases damage dealt to beasts by 90%""]";0;0
56;"Flame Nova";5;"[""Increases damage dealt to beasts by 100%""]";0;0
57;"Prominence Revolt";1;"[""Increases damage dealt to toppled enemies by 100%""]";0;0
58;"Prominence Revolt";2;"[""Increases damage dealt to toppled enemies by 110%""]";0;0
59;"Prominence Revolt";3;"[""Increases damage dealt to toppled enemies by 120%""]";0;0
60;"Prominence Revolt";4;"[""Increases damage dealt to toppled enemies by 130%""]";0;0
61;"Prominence Revolt";5;"[""Increases damage dealt to toppled enemies by 150%""]";0;0
62;"Blazing End";1;"[""Increases critical damage by 25%""]";0;0
63;"Blazing End";2;"[""Increases critical damage by 40%""]";0;0
64;"Blazing End";3;"[""Increases critical damage by 55%""]";0;0
65;"Blazing End";4;"[""Increases critical damage by 70%""]";0;0
66;"Blazing End";5;"[""Increases critical damage by 85%""]";0;0
67;"Purifying Flames";1;"[""Special has 5% chance to defeat non-boss foes with up to 20% HP""]";0;0
68;"Purifying Flames";2;"[""Special has 7% chance to defeat non-boss foes with up to 20% HP""]";0;0
69;"Purifying Flames";3;"[""Special has 10% chance to defeat non-boss foes with up to 20% HP""]";0;0
70;"Purifying Flames";4;"[""Special has 12% chance to defeat non-boss foes with up to 20% HP""]";0;0
71;"Purifying Flames";5;"[""Special has 15% chance to defeat non-boss foes with up to 20% HP""]";0;0
72;"Resplendence";1;"[""Increases Blade Combo damage by 24%""]";0;0
73;"Resplendence";2;"[""Increases Blade Combo damage by 36%""]";0;0
74;"Resplendence";3;"[""Increases Blade Combo damage by 48%""]";0;0
75;"Resplendence";4;"[""Increases Blade Combo damage by 60%""]";0;0
76;"Resplendence";5;"[""Increases Blade Combo damage by 72%""]";0;0
77;"Flaming Edge";1;"[""Increases critical damage by 10%""]";0;0
78;"Flaming Edge";2;"[""Increases critical damage by 20%""]";0;0
79;"Flaming Edge";3;"[""Increases critical damage by 30%""]";0;0
80;"Flaming Edge";4;"[""Increases critical damage by 40%""]";0;0
81;"Flaming Edge";5;"[""Increases critical damage by 50%""]";0;0
82;"Fire Mastery";1;"[""The power of a Fire Blade""]";0;0
83;"Fire Mastery";2;"[""The power of a Fire Blade""]";0;0
84;"Fire Mastery";3;"[""The power of a Fire Blade""]";0;0
85;"Focus";1;"[""The power to focus on one thing. Also used to control one's power""]";0;0
86;"Focus";2;"[""The power to focus on one thing. Also used to control one's power""]";0;0
87;"Focus";3;"[""The power to focus on one thing. Also used to control one's power""]";0;0
88;"Cooking";1;"[""The power to prepare delicious food. Skill exclusive to Pyra""]";0;0
89;"Cooking";2;"[""The power to prepare delicious food. Skill exclusive to Pyra""]";0;0
90;"Cooking";3;"[""The power to prepare delicious food. Skill exclusive to Pyra""]";0;0
91;"Affinity";1;"[""Unlocks level 1 of the Affinity Chart""]";0;0
92;"Affinity";2;"[""Unlocks level 2 of the Affinity Chart""]";0;0
93;"Affinity";3;"[""Unlocks level 3 of the Affinity Chart""]";0;0
94;"Affinity";4;"[""Unlocks level 4 of the Affinity Chart""]";0;0
95;"Affinity";5;"[""Unlocks level 5 of the Affinity Chart"", ""Affinity bond will be easier to sustain""]";0;0
96;"Ray of Punishment";1;"[""Increases damage dealt to toppled enemies by 100%""]";0;0
97;"Ray of Punishment";2;"[""Increases damage dealt to toppled enemies by 110%""]";0;0
98;"Ray of Punishment";3;"[""Increases damage dealt to toppled enemies by 120%""]";0;0
99;"Ray of Punishment";4;"[""Increases damage dealt to toppled enemies by 130%""]";0;0
100;"Ray of Punishment";5;"[""Increases damage dealt to toppled enemies by 150%""]";0;0
101;"Photon Edge";1;"[""Adds a 60% chance of dealing a guard-annulling attack""]";0;0
102;"Photon Edge";2;"[""Adds a 70% chance of dealing a guard-annulling attack""]";0;0
103;"Photon Edge";3;"[""Adds a 80% chance of dealing a guard-annulling attack""]";0;0
104;"Photon Edge";4;"[""Adds a 90% chance of dealing a guard-annulling attack""]";0;0
105;"Photon Edge";5;"[""Adds a 100% chance of dealing a guard-annulling attack""]";0;0
106;"Lightning Buster";1;"[""Increases damage dealt by 100% when HP is 30% or less""]";0;0
107;"Lightning Buster";2;"[""Increases damage dealt by 110% when HP is 30% or less""]";0;0
108;"Lightning Buster";3;"[""Increases damage dealt by 120% when HP is 30% or less""]";0;0
109;"Lightning Buster";4;"[""Increases damage dealt by 130% when HP is 30% or less""]";0;0
110;"Lightning Buster";5;"[""Increases damage dealt by 150% when HP is 30% or less""]";0;0
111;"Foresight";1;"[""Increases accuracy and evasion rate of team by 30% at max Affinity""]";0;0
112;"Foresight";2;"[""Increases accuracy and evasion rate of team by 35% at max Affinity""]";0;0
113;"Foresight";3;"[""Increases accuracy and evasion rate of team by 40% at max Affinity""]";0;0
114;"Foresight";4;"[""Increases accuracy and evasion rate of team by 45% at max Affinity""]";0;0
115;"Foresight";5;"[""Increases accuracy and evasion rate of team by 50% at max Affinity""]";0;0
116;"Lightspeed Flurry";1;"[""Recharges Art or Special used by 20% upon landing a critical hit""]";0;0
117;"Lightspeed Flurry";2;"[""Recharges Art or Special used by 40% upon landing a critical hit""]";0;0
118;"Lightspeed Flurry";3;"[""Recharges Art or Special used by 60% upon landing a critical hit""]";0;0
119;"Lightspeed Flurry";4;"[""Recharges Art or Special used by 80% upon landing a critical hit""]";0;0
120;"Lightspeed Flurry";5;"[""Recharges Art or Special used by 100% upon landing a critical hit""]";0;0
121;"Glint";1;"[""Increases critical hit rate by 5%""]";0;0
122;"Glint";2;"[""Increases critical hit rate by 7%""]";0;0
123;"Glint";3;"[""Increases critical hit rate by 10%""]";0;0
124;"Glint";4;"[""Increases critical hit rate by 12%""]";0;0
125;"Glint";5;"[""Increases critical hit rate by 15%""]";0;0
126;"Light Mastery";1;"[""The power of a Light Blade""]";0;0
127;"Light Mastery";2;"[""The power of a Light Blade""]";0;0
128;"Light Mastery";3;"[""The power of a Light Blade""]";0;0
129;"Focus";1;"[""The power to focus on one thing. Also used to control one's power""]";0;0
130;"Focus";2;"[""The power to focus on one thing. Also used to control one's power""]";0;0
131;"Focus";3;"[""The power to focus on one thing. Also used to control one's power""]";0;0
132;"Girls' Talk";1;"[""Talk openly, girl-to-girl""]";0;0
133;"Girls' Talk";2;"[""Talk openly, girl-to-girl""]";0;0
134;"Girls' Talk";3;"[""Talk openly, girl-to-girl""]";0;0
135;"Affinity";1;"[""Unlocks level 1 of the Affinity Chart""]";0;0
136;"Affinity";2;"[""Unlocks level 2 of the Affinity Chart""]";0;0
137;"Affinity";3;"[""Unlocks level 3 of the Affinity Chart"", ""Affinity bond will be easier to sustain""]";0;0
138;"Affinity";4;"[""Unlocks level 4 of the Affinity Chart""]";0;0
139;"Affinity";5;"[""Unlocks level 5 of the Affinity Chart""]";0;0
140;"Raging Tiger";1;"[""Absorbs 60% of critical damage dealt as HP""]";0;0
141;"Raging Tiger";2;"[""Absorbs 70% of critical damage dealt as HP""]";0;0
142;"Raging Tiger";3;"[""Absorbs 80% of critical damage dealt as HP""]";0;0
143;"Raging Tiger";4;"[""Absorbs 90% of critical damage dealt as HP""]";0;0
144;"Raging Tiger";5;"[""Absorbs 100% of critical damage dealt as HP""]";0;0
145;"Aqua Wave";1;"[""When landing a hit, restores 30% of damage dealt to the whole party""]";0;0
146;"Aqua Wave";2;"[""When landing a hit, restores 35% of damage dealt to the whole party""]";0;0
147;"Aqua Wave";3;"[""When landing a hit, restores 40% of damage dealt to the whole party""]";0;0
148;"Aqua Wave";4;"[""When landing a hit, restores 45% of damage dealt to the whole party""]";0;0
149;"Aqua Wave";5;"[""When landing a hit, restores 50% of damage dealt to the whole party""]";0;0
150;"Wild Roar";1;"[""Spawns a small HP Potion on hit, with a 60% chance to spawn 2""]";0;0
151;"Wild Roar";2;"[""Spawns a small HP Potion on hit, with a 70% chance to spawn 2""]";0;0
152;"Wild Roar";3;"[""Spawns a small HP Potion on hit, with a 80% chance to spawn 2""]";0;0
153;"Wild Roar";4;"[""Spawns a small HP Potion on hit, with a 90% chance to spawn 2""]";0;0
154;"Wild Roar";5;"[""Spawns a small HP Potion on hit, with a 100% chance to spawn 2""]";0;0
155;"Celestial Gift";1;"[""Reduces Blade Combo damage received from enemies by 30%""]";0;0
156;"Celestial Gift";2;"[""Reduces Blade Combo damage received from enemies by 35%""]";0;0
157;"Celestial Gift";3;"[""Reduces Blade Combo damage received from enemies by 40%""]";0;0
158;"Celestial Gift";4;"[""Reduces Blade Combo damage received from enemies by 45%""]";0;0
159;"Celestial Gift";5;"[""Reduces Blade Combo damage received from enemies by 50%""]";0;0
160;"River's Blessing";1;"[""Restores 3% HP when using a Driver Art""]";0;0
161;"River's Blessing";2;"[""Restores 3.5% HP when using a Driver Art""]";0;0
162;"River's Blessing";3;"[""Restores 4% HP when using a Driver Art""]";0;0
163;"River's Blessing";4;"[""Restores 4.5% HP when using a Driver Art""]";0;0
164;"River's Blessing";5;"[""Restores 5% HP when using a Driver Art""]";0;0
165;"Howl of Calm";1;"[""Adds 25% chance of restoring 4% HP after taking a hit""]";0;0
166;"Howl of Calm";2;"[""Adds 25% chance of restoring 6% HP after taking a hit""]";0;0
