"id";"Name";"ItemType";"Source";"Location";"Price";"FavoriteOf";"Effects"
1;"Torigoth Marinade";12;"Llysiau Greens";42;60;"Adenine";"{""Effects"": [""+5.0% HP recovery""], ""Trust"": 9, ""Duration"": ""00:20:00""}"
2;"Leftherian Life";2;"Nopox Hobby Store";22;2920;"Adenine";"{""Effects"": [""+ 20.0% Blade Arts effect"", ""+ 6.0% Affinity gain"", ""Specials recharge 0.5 each second""], ""Trust"": 15, ""Duration"": ""03:36:00""}"
3;"Pan-Fried Tartari";8;"Pyra's Cooking";39;750;"Rex";"{""Effects"": [""-7.0% physical dmg taken"", ""-7.0% ether dmg taken""], ""Trust"": 12, ""Duration"": ""00:50:00""}"
4;"Coral Reversi";2;"Hobby Knick-Knacks";143;540;"Rex";"{""Effects"": [""+14.0% Blade Arts effect""], ""Trust"": 15, ""Duration"": ""02:00:00""}"
5;"Cream Orange Paratha";10;"Tilly Bakery";42;90;"Nia";"{""Effects"": [""Recharges Arts by 0.3 each second.""], ""Trust"": 9, ""Duration"": ""00:20:00""}"
6;"Ardainian Bear Carving";1;"Yafush Antiques";197;720;"Nia";"{""Effects"": [""+10.0% Affinity gain""], ""Trust"": 15, ""Duration"": ""02:00:00""}"
7;"Juicy Samod";10;"Rumbletum Canteen";14;30;"Tora";"{""Effects"": [""+8.0% max HP to dmg barrier""], ""Trust"": 9, ""Duration"": ""00:20:00""}"
8;"Silken Stool";11;"Future Crafts";370;900;"Tora";"{""Effects"": [""-13.0% Affinity loss""], ""Trust"": 18, ""Duration"": ""02:00:00""}"
9;"Armu T-Bone Steak";8;"Volty Butchers";143;90;"Vandham";"{""Effects"": [""-3.0% physical dmg taken""], ""Trust"": 12, ""Duration"": ""00:20:00""}"
10;"The Alrestogony";6;"Aldomar Books";143;360;"Vandham";"{""Effects"": [""+8.0% dmg dealt by Specials""], ""Trust"": 15, ""Duration"": ""02:00:00""}"
11;"Quoteletta";8;"Bassani Butchers";197;150;"Morag";"{""Effects"": [""-5.0% physical dmg taken""], ""Trust"": 12, ""Duration"": ""00:20:00""}"
12;"Steamwork Organ";7;"Adelno Music";197;540;"Morag";"{""Effects"": [""Specials recharge 0.8 each second""], ""Trust"": 15, ""Duration"": ""02:00:00""}"
13;"Addam's Embercake";12;"Lectica Vegetables";315;750;"Zeke";"{""Effects"": [""+13.0% HP recovery""], ""Trust"": 15, ""Duration"": ""00:20:00""}"
14;"Snow-Crystal Vase";1;"Memoria Art";315;3600;"Zeke";"{""Effects"": [""+10.0% Affinity gain""], ""Trust"": 18, ""Duration"": ""02:00:00""}"
15;"Jenerossi Tea";5;"Vargel Tavern";131;90;"Pyra";"{""Effects"": [""+15.0% Party Gauge gain""], ""Trust"": 12, ""Duration"": ""00:20:00""}"
16;"Woodgrain Alphorn";7;"Soniarus Music";42;360;"Pyra";"{""Effects"": [""Specials recharge 0.5 each second""], ""Trust"": 12, ""Duration"": ""02:00:00""}"
