"id";"Name";"Category";"Type";"IsDriver";"LowestLevel";"HighestLevel";"Location";"DLCRequired";"SpawnCondition";"Drops";"Available";"Beaten"
2;"Mordow Blants";"Minor";17;0;21;23;151;0;"Any";"[{""Name"": ""Endurance I"", ""Type"": ""Aux Core"", ""Rarity"": ""Common (rarity 1)"", ""Rate"": ""12.0%""}, {""Name"": ""Aggro Boost I"", ""Type"": ""Aux Core"", ""Rarity"": ""Common (rarity 1)"", ""Rate"": ""12.0%""}, {""Name"": ""Turquoise Chip"", ""Type"": ""Core Chip"", ""Rarity"": ""Common (rarity 1)"", ""Rate"": ""15.0%""}, {""Name"": ""Eyepatch"", ""Type"": ""Accessory"", ""Rarity"": ""Rare (rarity 2)"", ""Rate"": ""7.2%""}, {""Name"": ""Eyepatch"", ""Type"": ""Accessory"", ""Rarity"": ""Legendary (rarity 3)"", ""Rate"": ""4.8%""}, {""Name"": ""Common Core Crystal"", ""Type"": ""Core Crystal"", ""Rarity"": ""Common (rarity 1)"", ""Rate"": ""5.0%""}]";0;0
3;"Darml Lysaats";"Normal";53;0;28;30;263;0;"Any";"[{""Name"": ""Damage Heal II"", ""Type"": ""Aux Core"", ""Rarity"": ""Common (rarity 1)"", ""Rate"": ""10.8%""}, {""Name"": ""Bolt Hat"", ""Type"": ""Accessory"", ""Rarity"": ""Common (rarity 1)"", ""Rate"": ""12.0%""}, {""Name"": ""team Belt"", ""Type"": ""Accessory"", ""Rarity"": ""Rare (rarity 2)"", ""Rate"": ""7.2%""}, {""Name"": ""team Belt"", ""Type"": ""Accessory"", ""Rarity"": ""Legendary (rarity 3)"", ""Rate"": ""4.8%""}, {""Name"": ""Chrome Scarf"", ""Type"": ""Accessory"", ""Rarity"": ""Rare (rarity 2)"", ""Rate"": ""8.4%""}, {""Name"": ""Chrome Scarf"", ""Type"": ""Accessory"", ""Rarity"": ""Legendary (rarity 3)"", ""Rate"": ""5.6%""}, {""Name"": ""Common Core Crystal"", ""Type"": ""Core Crystal"", ""Rarity"": ""Common (rarity 1)"", ""Rate"": ""5.0%""}]";0;0
4;"Eanl Blants";"Normal";17;0;45;47;406;0;"Any";"[{""Name"": ""Electric Def Up IV"", ""Type"": ""Aux Core"", ""Rarity"": ""Rare (rarity 2)"", ""Rate"": ""8.4%""}, {""Name"": ""Spike Defense III"", ""Type"": ""Aux Core"", ""Rarity"": ""Rare (rarity 2)"", ""Rate"": ""12.0%""}, {""Name"": ""Shield Attachment"", ""Type"": ""Accessory"", ""Rarity"": ""Common (rarity 1)"", ""Rate"": ""12.0%""}, {""Name"": ""Hero Pauldrons"", ""Type"": ""Accessory"", ""Rarity"": ""Rare (rarity 2)"", ""Rate"": ""8.4%""}, {""Name"": ""Hero Pauldrons"", ""Type"": ""Accessory"", ""Rarity"": ""Legendary (rarity 3) "", ""Rate"": ""5.6%""}, {""Name"": ""Common Core Crystal"", ""Type"": ""Core Crystal"", ""Rarity"": ""Common (rarity 1)"", ""Rate"": ""7.5%""}]";0;0
5;"Climactic Honnold";"Unique";88;0;45;0;391;0;"Any";"[{""Name"": ""Outdoor Attack Up III"", ""Type"": ""Aux Core"", ""Rarity"": ""Rare (rarity 2)"", ""Rate"": ""11.2%""}, {""Name"": ""Specials Lv 2 Plus III"", ""Type"": ""Aux Core"", ""Rarity"": ""Rare (rarity 2)"", ""Rate"": ""11.2%""}, {""Name"": ""Reflect Damage Up III"", ""Type"": ""Aux Core"", ""Rarity"": ""Rare (rarity 2)"", ""Rate"": ""12.0%""}, {""Name"": ""Shackle Blade Resist III "", ""Type"": ""Aux Core"", ""Rarity"": ""Rare (rarity 2)"", ""Rate"": ""11.2%""}, {""Name"": ""Recovery Symbol"", ""Type"": ""Accessory"", ""Rarity"": ""Rare (rarity 2)"", ""Rate"": ""9.0%""}, {""Name"": ""Recovery Symbol"", ""Type"": ""Accessory"", ""Rarity"": ""Legendary (rarity 3)"", ""Rate"": ""6.0%""}, {""Name"": ""Common Core Crystal"", ""Type"": ""Core Crystal"", ""Rarity"": ""Common (rarity 1)"", ""Rate"": ""13.0%""}, {""Name"": ""Rare Core Crystal"", ""Type"": ""Core Crystal"", ""Rarity"": ""Rare (rarity 2)"", ""Rate"": ""8.0%""}]";0;0
6;"Ruchik Kapiba";"Minor";47;0;31;35;376;0;"Any";"[{""Name"": ""Telepathy II"", ""Type"": ""Aux Core"", ""Rarity"": ""Common (rarity 1)"", ""Rate"": ""12.6%""}, {""Name"": ""Wood Chip"", ""Type"": ""Core Chip"", ""Rarity"": ""Common (rarity 1)"", ""Rate"": ""14.0%""}, {""Name"": ""Nacre Choker"", ""Type"": ""Accessory"", ""Rarity"": ""Common (rarity 1)"", ""Rate"": ""12.0%""}, {""Name"": ""Love Thread"", ""Type"": ""Accessory"", ""Rarity"": ""Rare (rarity 2)"", ""Rate"": ""8.4%""}, {""Name"": ""Love Thread"", ""Type"": ""Accessory"", ""Rarity"": ""Legendary (rarity 3)"", ""Rate"": ""5.6%""}, {""Name"": ""Common Core Crystal"", ""Type"": ""Core Crystal"", ""Rarity"": ""Common (rarity 1)"", ""Rate"": ""5.0%""}]";0;0
7;"Indoline Star";"Normal";45;0;60;62;466;0;"Any";"[{""Name"": ""Endurance IV"", ""Type"": ""Aux Core"", ""Rarity"": ""Rare (rarity 2)"", ""Rate"": ""8.4%""}, {""Name"": ""Damage Heal IV"", ""Type"": ""Aux Core"", ""Rarity"": ""Rare (rarity 2)"", ""Rate"": ""8.4%""}, {""Name"": ""Affinity MAX Acc IV"", ""Type"": ""Aux Core"", ""Rarity"": ""Rare (rarity 2)"", ""Rate"": ""8.4%""}, {""Name"": ""Ester Shoes"", ""Type"": ""Accessory"", ""Rarity"": ""Common (rarity 1)"", ""Rate"": ""12.0%""}, {""Name"": ""Fiber Hat"", ""Type"": ""Accessory"", ""Rarity"": ""Rare (rarity 2)"", ""Rate"": ""7.2%""}, {""Name"": ""Fiber Hat"", ""Type"": ""Accessory"", ""Rarity"": ""Legendary (rarity 3)"", ""Rate"": ""4.8%""}, {""Name"": ""Common Core Crystal"", ""Type"": ""Core Crystal"", ""Rarity"": ""Common (rarity 1)"", ""Rate"": ""12.5%""}]";0;0
8;"Dajan Sovereigns";"Normal";80;0;50;54;442;0;"Any";"[{""Name"": ""Electric Def Up V"", ""Type"": ""Aux Core"", ""Rarity"": ""Legendary (rarity 3)"", ""Rate"": ""7.2%""}, {""Name"": ""Saber Attachment"", ""Type"": ""Accessory"", ""Rarity"": ""Common (rarity 1)"", ""Rate"": ""12.0%""}, {""Name"": ""Spike Defense IV"", ""Type"": ""Aux Core"", ""Rarity"": ""Rare (rarity 2)"", ""Rate"": ""10.5%""}, {""Name"": ""Bio Gauntlet"", ""Type"": ""Accessory"", ""Rarity"": ""Rare (rarity 2)"", ""Rate"": ""7.2%""}, {""Name"": ""Bio Gauntlet"", ""Type"": ""Accessory"", ""Rarity"": ""Legendary (rarity 3)"", ""Rate"": ""4.8%""}, {""Name"": ""Howardite Chip"", ""Type"": ""Core Chip"", ""Rarity"": ""Common (rarity 1)"", ""Rate"": ""10.8%""}, {""Name"": ""Common Core Crystal"", ""Type"": ""Core Crystal"", ""Rarity"": ""Common (rarity 1)"", ""Rate"": ""7.5%""}]";0;0
9;"Vallum Ageshu";"Normal";1;0;39;42;284;0;"Any";"[{""Name"": ""Wind Def Up III"", ""Type"": ""Aux Core"", ""Rarity"": ""Rare (rarity 2)"", ""Rate"": ""9.6%""},{""Name"": ""Unicorn Scarf"", ""Type"": ""Accessory"", ""Rarity"": ""Common (rarity 1)"", ""Rate"": ""14.0%""},{""Name"": ""Eraser Orb"", ""Type"": ""Accessory"", ""Rarity"": ""Rare (rarity 2)"", ""Rate"": ""8.4%""},{""Name"": ""Eraser Orb"", ""Type"": ""Accessory"", ""Rarity"": ""Legendary (rarity 3)"", ""Rate"": ""5.6%""},{""Name"": ""Common Core Crystal"", ""Type"": ""Core Crystal"", ""Rarity"": ""Common (rarity 1)"", ""Rate"": ""7.5%""}]";0;0
10;"Ravenwing Skull";"Unique";1;0;62;0;284;0;"Any";"[{""Name"": ""Axion Chip"", ""Type"": ""Core Chip"", ""Rarity"": ""Common (rarity 1)"", ""Rate"": ""9.0%""},{""Name"": ""Evasion Focus V"", ""Type"": ""Aux Core"", ""Rarity"": ""Legendary (rarity 3)"", ""Rate"": ""6.0%""},{""Name"": ""Launch Resist V"", ""Type"": ""Aux Core"", ""Rarity"": ""Legendary (rarity 3)"", ""Rate"": ""6.0%""},{""Name"": ""Arts Stealth V"", ""Type"": ""Aux Core"", ""Rarity"": ""Legendary (rarity 3)"", ""Rate"": ""7.2%""},{""Name"": ""Nano-Metal Gauntlet"", ""Type"": ""Accessory"", ""Rarity"": ""Rare (rarity 2)"", ""Rate"": ""7.2%""},{""Name"": ""Nano-Metal Gauntlet"", ""Type"": ""Accessory"", ""Rarity"": ""Legendary (rarity 3)"", ""Rate"": ""4.8%""},{""Name"": ""Common Core Crystal"", ""Type"": ""Core Crystal"", ""Rarity"": ""Common (rarity 1)"", ""Rate"": ""20.0%""},{""Name"": ""Rare Core Crystal"", ""Type"": ""Core Crystal"", ""Rarity"": ""Rare (rarity 2)"", ""Rate"": ""13.0%""},{""Name"": ""Legendary Core Crystal"", ""Type"": ""Core Crystal"", ""Rarity"": ""Legendary (rarity 3)"", ""Rate"": ""3.9%""}]";0;0
11;"Ferrii Aligo";"Salvage";2;0;38;42;312;0;"Any";"[{""Name"": ""Affinity MAX Barrier II"", ""Type"": ""Aux Core"", ""Rarity"": ""Common (rarity 1)"", ""Rate"": ""12.6%""},{""Name"": ""Aggro Boost II"", ""Type"": ""Aux Core"", ""Rarity"": ""Common (rarity 1)"", ""Rate"": ""10.8%""},{""Name"": ""Aggro Attack Up II"", ""Type"": ""Aux Core"", ""Rarity"": ""Common (rarity 1)"", ""Rate"": ""9.0%""},{""Name"": ""Movement Heal II"", ""Type"": ""Aux Core"", ""Rarity"": ""Common (rarity 1)"", ""Rate"": ""12.6%""},{""Name"": ""Shell Shoes"", ""Type"": ""Accessory"", ""Rarity"": ""Legendary (rarity 3)"", ""Rate"": ""4.8%""},{""Name"": ""Chivalric Medal"", ""Type"": ""Accessory"", ""Rarity"": ""Common (rarity 1)"", ""Rate"": ""12.0%""},{""Name"": ""Spike Defense II"", ""Type"": ""Aux Core"", ""Rarity"": ""Common (rarity 1)"", ""Rate"": ""13.5%""},{""Name"": ""Common Core Crystal"", ""Type"": ""Core Crystal"", ""Rarity"": ""Common (rarity 1)"", ""Rate"": ""7.5%""}]";0;0
