"id";"RequiredBy";"OtherPrerequisiteName";"OtherPrerequisiteDetail";"StoryProgress";"DLCRequired";"Location";"Heart2HeartTitle";"SideQuest";"MercMissionTitle";"MonsterTitle";"MonsterType";"AffinityChartNode";"PouchItemType";"PouchItem";"Progress"
1;2;"Trust";100;0;0;0;0;0;0;0;0;0;0;0;0
2;3;"Trust";1300;0;0;0;0;0;0;0;0;0;0;0;0
3;4;"Trust";3800;0;0;0;0;0;0;0;0;0;0;0;0
4;5;"Merc Mission";1;0;0;14;0;0;1;0;0;0;0;0;0
5;7;"Finish an enemy - Any";10;0;0;0;0;0;0;0;0;0;0;0;0
6;8;"Heart-to-heart";1;0;0;22;1;0;0;0;0;0;0;0;0
7;9;"Finish an enemy - Mechanical";5;0;0;442;0;0;0;8;0;0;0;0;0
8;10;"Finish an enemy - Unique";1;0;0;0;0;0;0;905;0;0;0;0;0
9;12;"Finish an enemy - Normal";4;0;0;151;0;0;0;2;0;0;0;0;0
10;13;"Finish an enemy - Normal";5;0;0;263;0;0;0;3;0;0;0;0;0
11;14;"Finish an enemy - Normal";4;0;0;406;0;0;0;4;0;0;0;0;0
12;15;"Finish an enemy - Unique";1;0;0;391;0;0;0;5;0;0;0;0;0
13;17;"Use a move";5;0;0;0;0;0;0;0;0;16;0;0;0
14;18;"Use a move";6;0;0;0;0;0;0;0;0;16;0;0;0
15;19;"Use a move";7;0;0;0;0;0;0;0;0;16;0;0;0
16;20;"Use a move";8;0;0;0;0;0;0;0;0;16;0;0;0
17;21;"Blade combo";2;0;0;0;0;0;0;0;0;0;0;0;0
18;22;"Blade combo";5;0;0;0;0;0;0;0;0;0;0;0;0
19;23;"Blade combo";7;0;0;0;0;0;0;0;0;0;0;0;0
20;24;"Blade combo";10;0;0;0;0;0;0;0;0;0;0;0;0
21;25;"Blade combo finisher";3;0;0;0;0;0;0;0;0;0;0;0;0
22;27;"Driver combo";5;0;0;0;0;0;0;0;0;0;0;0;0
23;28;"Driver combo";7;0;0;0;0;0;0;0;0;0;0;0;0
24;29;"Driver combo";10;0;0;0;0;0;0;0;0;0;0;0;0
25;30;"Driver combo finisher";3;0;0;0;0;0;0;0;0;0;0;0;0
26;32;"Engage in combat";10;0;0;0;0;0;0;0;0;0;0;0;0
27;33;"Engage in combat";11;0;0;0;0;0;0;0;0;0;0;0;0
28;34;"Engage in combat";12;0;0;0;0;0;0;0;0;0;0;0;0
29;35;"Use pouch item";2;0;0;0;0;0;0;0;0;0;6;0;0
30;37;"Finish an enemy - Normal";4;0;0;376;0;0;0;6;0;0;0;0;0
31;38;"Finish an enemy - Normal";4;0;0;466;0;0;0;7;0;0;0;0;0
32;40;"Gather pouch items - Currently held items count towards the required total";20;0;0;0;0;0;0;0;0;0;6;0;0
33;41;"Gather pouch items - Currently held items count towards the required total";30;0;0;0;0;0;0;0;0;0;6;0;0
34;43;"Merc Mission";1;0;0;14;0;0;2;0;0;0;0;0;0
35;44;"Merc Mission";1;0;0;14;0;0;3;0;0;0;0;0;0
36;45;"Merc Mission";1;0;0;14;0;0;4;0;0;0;0;0;0
37;46;"Side-quest";1;0;0;15;0;1;0;0;0;0;0;0;0
38;48;"Trust";100;0;0;0;0;0;0;0;0;0;0;0;0
39;49;"Trust";1600;0;0;0;0;0;0;0;0;0;0;0;0
40;50;"Trust";4600;0;0;0;0;0;0;0;0;0;0;0;0
41;51;"Trust";10600;0;0;0;0;0;0;0;0;0;0;0;0
42;53;"Finish an enemy - Feris Species";6;0;0;0;0;0;0;0;31;0;0;0;0
43;54;"Use a move";11;0;0;0;0;0;0;0;0;52;0;0;0
44;55;"Blade combo";10;0;0;0;0;0;0;0;0;0;0;0;0
45;56;"Finish an enemy - Normal";4;0;0;0;0;0;0;941;0;0;0;0;0
46;58;"Use a move";7;0;0;0;0;0;0;0;0;57;0;0;0
47;59;"Finish an enemy - Normal";5;0;0;0;0;0;0;272;0;0;0;0;0
48;60;"Use a move";9;0;0;0;0;0;0;0;0;57;0;0;0
49;61;"Use a move";10;0;0;0;0;0;0;0;0;57;0;0;0
50;63;"Blade combo";5;0;0;0;0;0;0;0;0;0;0;0;0
