"id";"RequiredBy";"StoryProgress";"NewGamePlus";"DLCUnlocked";"SideQuest";"Monster";"Location";"OtherDetails"
1;2;3;0;0;0;0;0;""
2;3;2;0;0;0;0;0;""
3;4;2;0;0;0;0;0;""
4;5;4;0;0;0;0;0;""
5;6;8;0;0;58;0;0;""
6;7;3;0;0;0;0;0;""
7;8;4;0;0;0;0;0;""
8;9;5;0;0;0;0;0;""
9;10;7;0;0;0;0;0;""
10;11;6;0;0;0;0;0;""
11;13;3;0;0;37;0;0;""
12;53;0;0;0;101;0;0;""
13;20;0;0;0;0;686;0;""
14;21;0;0;0;47;0;0;""
15;22;0;0;0;83;0;0;""
16;29;0;0;0;0;0;42;"Margia's Odds & Ends shop"
17;30;0;0;0;45;0;0;""
18;37;0;0;0;0;0;318;"Altar of Sealing"
19;39;0;1;0;0;0;0;""
20;40;0;1;0;0;0;0;""
21;41;9;1;0;0;0;452;"Megaflote Base after he falls out of battle"
22;42;0;1;0;0;0;0;""
23;43;0;1;0;0;0;0;""
24;44;0;1;0;0;0;0;""
25;45;0;1;0;0;0;0;""
26;46;0;1;0;0;0;0;""
27;47;0;0;1;51;0;0;""
28;48;0;0;1;0;0;0;"Challenge Battle Mode - Dino Drama"
29;49;0;0;1;0;0;0;"Challenge Battle Mode - Dino Drama"
30;50;0;0;1;0;0;0;"New Rare Blade Pack 2 - A Firecracker of a Gal"
31;51;0;0;1;0;0;0;"New Rare Blade Pack 3 - A Boy of Two Swords"
32;52;0;0;1;0;0;0;"Challenge Battle Mode - Elma: Redux"
